URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLES PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,7,0,0.9999998571428775,0.03286384961096784,17.210526315789473,38.83495145631068,22.418191108840062,17.210526315789473,120,309,2.411003236245955,1,7.540453074433657
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,13,7,0.29999998500000075,0.041841004096566936,20.122448979591837,20.372285418821097,16.197893759365172,20.122448979591837,197,967,1.7983453981385729,7,5.531540847983454
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,15,5,0.4999999750000012,0.05479452039782323,16.65625,30.46875,18.85,16.65625,156,512,2.130859375,1,6.71484375
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,25,11,0.3888888780864201,0.07407407392165828,18.5,40.37900874635568,23.551603498542274,18.5,277,686,2.402332361516035,4,7.246355685131196
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,9,2,0.636363578512402,0.02282157671613781,12.59016393442623,29.427792915531338,16.80718273998303,12.59016393442623,216,734,2.129427792915531,3,6.388283378746594
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,7,0,0.9999998571428775,0.03286384961096784,17.210526315789473,38.83495145631068,22.418191108840062,17.210526315789473,120,309,2.411003236245955,1,7.540453074433657
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,13,7,0.29999998500000075,0.041841004096566936,20.122448979591837,20.372285418821097,16.197893759365172,20.122448979591837,197,967,1.7983453981385729,7,5.531540847983454
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,15,5,0.4999999750000012,0.05479452039782323,16.65625,30.46875,18.85,16.65625,156,512,2.130859375,1,6.71484375
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,25,11,0.3888888780864201,0.07407407392165828,18.5,40.37900874635568,23.551603498542274,18.5,277,686,2.402332361516035,4,7.246355685131196
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,60,17,0.5584415511890708,0.06980961009083443,15.530973451327434,35.93563766388558,20.586644446085206,15.530973451327434,603,1678,2.197258641239571,1,6.601907032181168
